"","Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9","binaryresults_new[, 3]","binaryresults_theor"
"1",6,2,5,20,10,0,0,0.01,1,57,0.05
"2",6,2,4,20,10,0,0,0.01,1,62,0.05
"3",6,2,3,20,10,0,0,0.01,1,49,0.05
"4",6,2,2,20,10,0,0,0.01,1,60,0.05
"5",6,2,1,20,10,0,0,0.01,1,56,0.05
"6",6,2,0,20,10,0,0,0.01,1,49,0.05
"7",6,2,5,20,10,0,0.025,0.01,1,440,0.453
"8",6,2,4,20,10,0,0.025,0.01,1,481,0.453
"9",6,2,3,20,10,0,0.025,0.01,1,455,0.453
"10",6,2,2,20,10,0,0.025,0.01,1,446,0.453
"11",6,2,1,20,10,0,0.025,0.01,1,434,0.453
"12",6,2,0,20,10,0,0.025,0.01,1,483,0.453
"13",6,2,5,20,10,0,0,0.05,1,51,0.05
"14",6,2,4,20,10,0,0,0.05,1,44,0.05
"15",6,2,3,20,10,0,0,0.05,1,43,0.05
"16",6,2,2,20,10,0,0,0.05,1,54,0.05
"17",6,2,1,20,10,0,0,0.05,1,55,0.05
"18",6,2,0,20,10,0,0,0.05,1,49,0.05
"19",6,2,5,20,10,0,0.025,0.05,1,379,0.395
"20",6,2,4,20,10,0,0.025,0.05,1,423,0.395
"21",6,2,3,20,10,0,0.025,0.05,1,415,0.395
"22",6,2,2,20,10,0,0.025,0.05,1,393,0.395
"23",6,2,1,20,10,0,0.025,0.05,1,374,0.395
"24",6,2,0,20,10,0,0.025,0.05,1,406,0.395
